tahun,wilayah,penyebab,jumlah
2016,Kepulauan Seribu,LISTRIK,1
2016,Kepulauan Seribu,GAS,0
2016,Kepulauan Seribu,LILIN,0
2016,Kepulauan Seribu,MEMBAKAR SAMPAH,0
2016,Kepulauan Seribu,ROKOK,0
2016,Kepulauan Seribu,LAINNYA,2
2016,Jakarta Selatan,LISTRIK,192
2016,Jakarta Selatan,GAS,26
2016,Jakarta Selatan,LILIN,2
2016,Jakarta Selatan,MEMBAKAR SAMPAH,8
2016,Jakarta Selatan,ROKOK,1
2016,Jakarta Selatan,LAINNYA,12
2016,Jakarta Timur,LISTRIK,183
2016,Jakarta Timur,GAS,22
2016,Jakarta Timur,LILIN,1
2016,Jakarta Timur,MEMBAKAR SAMPAH,6
2016,Jakarta Timur,ROKOK,2
2016,Jakarta Timur,LAINNYA,32
2016,Jakarta Pusat,LISTRIK,100
2016,Jakarta Pusat,GAS,16
2016,Jakarta Pusat,LILIN,1
2016,Jakarta Pusat,MEMBAKAR SAMPAH,1
2016,Jakarta Pusat,ROKOK,10
2016,Jakarta Pusat,LAINNYA,13
2016,Jakarta Barat,LISTRIK,212
2016,Jakarta Barat,GAS,27
2016,Jakarta Barat,LILIN,3
2016,Jakarta Barat,MEMBAKAR SAMPAH,14
2016,Jakarta Barat,ROKOK,7
2016,Jakarta Barat,LAINNYA,20
2016,Jakarta Utara,LISTRIK,185
2016,Jakarta Utara,GAS,19
2016,Jakarta Utara,LILIN,0
2016,Jakarta Utara,MEMBAKAR SAMPAH,23
2016,Jakarta Utara,ROKOK,10
2016,Jakarta Utara,LAINNYA,20
