tahun,wilayah,penyebab,jumlah
2016,Jakarta Barat,GAS,27
2016,Jakarta Barat,LAINNYA,20
2016,Jakarta Barat,LILIN,3
2016,Jakarta Barat,LISTRIK,212
2016,Jakarta Barat,MEMBAKAR SAMPAH,14
2016,Jakarta Barat,ROKOK,7
2016,Jakarta Pusat,GAS,16
2016,Jakarta Pusat,LAINNYA,13
2016,Jakarta Pusat,LILIN,1
2016,Jakarta Pusat,LISTRIK,100
2016,Jakarta Pusat,MEMBAKAR SAMPAH,1
2016,Jakarta Pusat,ROKOK,10
2016,Jakarta Selatan,GAS,26
2016,Jakarta Selatan,LAINNYA,12
2016,Jakarta Selatan,LILIN,2
2016,Jakarta Selatan,LISTRIK,192
2016,Jakarta Selatan,MEMBAKAR SAMPAH,8
2016,Jakarta Selatan,ROKOK,1
2016,Jakarta Timur,GAS,22
2016,Jakarta Timur,LAINNYA,32
2016,Jakarta Timur,LILIN,1
2016,Jakarta Timur,LISTRIK,183
2016,Jakarta Timur,MEMBAKAR SAMPAH,6
2016,Jakarta Timur,ROKOK,2
2016,Jakarta Utara,GAS,19
2016,Jakarta Utara,LAINNYA,20
2016,Jakarta Utara,LILIN,0
2016,Jakarta Utara,LISTRIK,185
2016,Jakarta Utara,MEMBAKAR SAMPAH,23
2016,Jakarta Utara,ROKOK,10
2016,Kepulauan Seribu,GAS,0
2016,Kepulauan Seribu,LAINNYA,2
2016,Kepulauan Seribu,LILIN,0
2016,Kepulauan Seribu,LISTRIK,1
2016,Kepulauan Seribu,MEMBAKAR SAMPAH,0
2016,Kepulauan Seribu,ROKOK,0
2017,Jakarta Barat,GAS,27
2017,Jakarta Barat,LAINNYA,39
2017,Jakarta Barat,LILIN,2
2017,Jakarta Barat,LISTRIK,216
2017,Jakarta Barat,MEMBAKAR SAMPAH,34
2017,Jakarta Barat,ROKOK,7
2017,Jakarta Pusat,GAS,29
2017,Jakarta Pusat,LAINNYA,23
2017,Jakarta Pusat,LILIN,0
2017,Jakarta Pusat,LISTRIK,123
2017,Jakarta Pusat,MEMBAKAR SAMPAH,7
2017,Jakarta Pusat,ROKOK,7
2017,Jakarta Selatan,GAS,45
2017,Jakarta Selatan,LAINNYA,31
2017,Jakarta Selatan,LILIN,0
2017,Jakarta Selatan,LISTRIK,213
2017,Jakarta Selatan,MEMBAKAR SAMPAH,20
2017,Jakarta Selatan,ROKOK,7
2017,Jakarta Timur,GAS,55
2017,Jakarta Timur,LAINNYA,48
2017,Jakarta Timur,LILIN,1
2017,Jakarta Timur,LISTRIK,223
2017,Jakarta Timur,MEMBAKAR SAMPAH,26
2017,Jakarta Timur,ROKOK,7
2017,Jakarta Utara,GAS,27
2017,Jakarta Utara,LAINNYA,49
2017,Jakarta Utara,LILIN,2
2017,Jakarta Utara,LISTRIK,150
2017,Jakarta Utara,MEMBAKAR SAMPAH,33
